"KVARTAL","Forbrugertillidsindikator","F2 Familiens økonomiske situation i dag, sammenlignet med for et år siden","F3 Familiens økonomiske  situation om et år, sammenlignet med i dag","F4 Danmarks økonomiske situation i dag, sammenlignet med for et år siden","F5 Danmarks økonomiske situation om et år, sammenlignet med i dag","F9 Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket","Year","Quarter","Forbrug","realvækst"
"2005K4",10.2466666666667,13.1666666666667,15.0333333333333,21,7.1,-5.06666666666667,2005,4,233.4,1.25813449023862
"2006K1",12.6066666666667,13.7,16.3666666666667,24.3,8.7,-0.0333333333333333,2006,1,237.9,5.17241379310345
"2006K2",10.7066666666667,14.5,15.6333333333333,23.5333333333333,4.63333333333333,-4.76666666666667,2006,2,240,3.67170626349893
"2006K3",9.42666666666667,13.9,13.7666666666667,23.9,3.43333333333333,-7.86666666666667,2006,3,235.3,0.426803243704654
"2006K4",9.14,14.2,15.1,22.7666666666667,4.23333333333333,-10.6,2006,4,237.9,1.9280205655527
"2007K1",9.90666666666667,12.4666666666667,16.9666666666667,23.4,5.43333333333333,-8.73333333333333,2007,1,240.3,1.00882723833544
"2007K2",8.58,12.8,16.2666666666667,17.4333333333333,4.5,-8.1,2007,2,240.2,0.0833333333333242
"2007K3",6.49333333333333,13.1,17.3666666666667,13.3,1.66666666666667,-12.9666666666667,2007,3,242.8,3.18742031449213
"2007K4",4.78666666666667,8.66666666666667,15.4,10.4333333333333,0.766666666666667,-11.3333333333333,2007,4,246,3.4047919293821
"2008K1",-1.64666666666667,4.4,13.8666666666667,-1.26666666666667,-11.4666666666667,-13.7666666666667,2008,1,246.1,2.41364960466084
"2008K2",-4.38,6.76666666666667,12.6333333333333,-7.6,-16.3666666666667,-17.3333333333333,2008,2,247.2,2.9142381348876
"2008K3",-11,3.76666666666667,10.3,-21.5,-21.6333333333333,-25.9333333333333,2008,3,243.6,0.329489291598017
"2008K4",-13.84,0.1,12.3333333333333,-39.1,-9.73333333333333,-32.8,2008,4,234.3,-4.7560975609756
"2009K1",-10.72,0.766666666666667,12.4666666666667,-47.8333333333333,-2.63333333333333,-16.3666666666667,2009,1,232.2,-5.64811052417716
"2009K2",-4.85333333333333,0.5,14.1333333333333,-44.1333333333333,12.0666666666667,-6.83333333333333,2009,2,234.8,-5.01618122977345
"2009K3",-2.31333333333333,-0.2,13.9666666666667,-40.4,19.3333333333333,-4.26666666666667,2009,3,235.1,-3.48932676518884
"2009K4",-2.27333333333333,-0.6,13.4666666666667,-35.4,16.2333333333333,-5.06666666666667,2009,4,234.1,-0.0853606487409397
"2010K1",0.613333333333333,0.6,15.2666666666667,-25,17.1666666666667,-4.96666666666667,2010,1,237.7,2.36864771748493
"2010K2",1.92666666666667,1.76666666666667,13.3333333333333,-16.0333333333333,15.9333333333333,-5.36666666666667,2010,2,235.7,0.383304940374773
"2010K3",3.57333333333333,1.8,12.6666666666667,-6.63333333333333,15.3,-5.26666666666667,2010,3,236.9,0.765631646108034
"2010K4",1.18,0.6,12.3333333333333,-11.1333333333333,11.9,-7.8,2010,4,238.2,1.75138829560018
"2011K1",0.646666666666667,0.366666666666667,10.0666666666667,-7.76666666666667,9.53333333333333,-8.96666666666667,2011,1,235.2,-1.05174589819099
"2011K2",2.54666666666667,0.0666666666666667,11.4666666666667,-2.26666666666667,13.3666666666667,-9.9,2011,2,238.2,1.0606703436572
"2011K3",-2.12,-1.33333333333333,8.76666666666667,-13.6666666666667,4.8,-9.16666666666667,2011,3,238.6,0.717602363866598
"2011K4",-8.54,-4.56666666666667,4.43333333333333,-22.0333333333333,-9.56666666666667,-10.9666666666667,2011,4,238.8,0.251889168765751
"2012K1",-4.06666666666667,-3.7,8.06666666666667,-18.4,2.4,-8.7,2012,1,237.4,0.935374149659873
"2012K2",-0.8,-3.6,7.83333333333333,-6.96666666666667,8.76666666666667,-10.0333333333333,2012,2,238.5,0.125944584382887
"2012K3",-0.693333333333333,0.266666666666667,7.73333333333333,-10.5666666666667,5.63333333333333,-6.53333333333333,2012,3,238.1,-0.209555741827328
"2012K4",-3.82666666666667,-4.3,8.26666666666667,-14.5333333333333,3.06666666666667,-11.6333333333333,2012,4,240.2,0.586264656616398
"2013K1",-2.23333333333333,-2.5,8.56666666666667,-10.9,5.36666666666667,-11.7,2013,1,241.7,1.8112889637742
"2013K2",-0.673333333333333,-1.76666666666667,9.73333333333333,-6.33333333333333,8.66666666666667,-13.6666666666667,2013,2,242.3,1.59329140461217
"2013K3",4.78666666666667,-0.366666666666667,10.5333333333333,4.73333333333333,16.2666666666667,-7.23333333333333,2013,3,242.3,1.76396472070559
"2013K4",3.83333333333333,-1.13333333333333,9.9,5.93333333333333,16.1666666666667,-11.7,2013,4,242.2,0.832639467110741
"2014K1",5.18,-0.833333333333333,10.1666666666667,7.9,17.4,-8.73333333333333,2014,1,239.5,-0.910219280099289
"2014K2",7.54666666666667,1.03333333333333,11.1333333333333,11.7,20.1,-6.23333333333333,2014,2,241.4,-0.371440363186137
"2014K3",9.73333333333333,3.3,14.2666666666667,15.3666666666667,22.4333333333333,-6.7,2014,3,242.2,-0.0412711514651387
"2014K4",6.83333333333333,4.36666666666667,13.6666666666667,11.4666666666667,14.6666666666667,-10,2014,4,243.2,0.41288191577209
"2015K1",10.6866666666667,6.03333333333333,14.3,15.3333333333333,19.9333333333333,-2.16666666666667,2015,1,242.4,1.21085594989563
"2015K2",12.1866666666667,5.13333333333333,15.1,20.1333333333333,23.2333333333333,-2.66666666666667,2015,2,244.5,1.28417564208783
"2015K3",7.85333333333333,5.76666666666667,13.1,15.4666666666667,11.4,-6.46666666666667,2015,3,248.7,2.68373245251858
"2015K4",4.89333333333333,5.33333333333333,12.1333333333333,9.83333333333333,5.76666666666667,-8.6,2015,4,249.8,2.71381578947369
"2016K1",4.06,4.73333333333333,11.6333333333333,8.5,1.03333333333333,-5.6,2016,1,252.7,4.24917491749175
"2016K2",4.38666666666667,5.86666666666667,12.5333333333333,5.96666666666667,3.43333333333333,-5.86666666666667,2016,2,254,3.88548057259714
"2016K3",3.22666666666667,5.5,11,4.9,0.133333333333333,-5.4,2016,3,254.1,2.17129071170086
"2016K4",0.606666666666667,2.63333333333333,10.6333333333333,1.13333333333333,-3.46666666666667,-7.9,2016,4,256.9,2.84227381905524
"2017K1",5.14,4.53333333333333,13.7333333333333,7.63333333333333,4.83333333333333,-5.03333333333333,2017,1,259.3,2.61179263949347
"2017K2",6.79333333333333,4.8,13.0666666666667,12.6666666666667,10.3333333333333,-6.9,2017,2,260.2,2.44094488188975
"2017K3",8.47333333333333,7.06666666666667,14.5,15.2,11.9333333333333,-6.33333333333333,2017,3,260.6,2.55804801259347
"2017K4",7.06,7.3,13.8333333333333,13.8333333333333,7.93333333333333,-7.6,2017,4,265.1,3.19190346438305
"2018K1",8.4,6.2,15.3,17.1,9.86666666666667,-6.46666666666667,2018,1,269.6,3.97223293482454
"2018K2",8.97333333333333,6.16666666666667,13.2666666666667,19.5333333333333,11.9,-6,2018,2,272.5,4.7271329746349
"2018K3",8.10666666666667,7.43333333333333,14.5,15.6333333333333,8,-5.03333333333333,2018,3,271.6,4.22102839600922
"2018K4",4.12,5.26666666666667,11.6333333333333,8.63333333333333,2.83333333333333,-7.76666666666667,2018,4,270.8,2.15013202565069
"2019K1",3.65333333333333,5.56666666666667,12.8,6.36666666666667,-0.133333333333333,-6.33333333333333,2019,1,274,1.63204747774479
"2019K2",5.12666666666667,9.2,12.8666666666667,8.03333333333333,2.93333333333333,-7.4,2019,2,274.4,0.697247706422011
"2019K3",4.49333333333333,8.63333333333333,12.9,9.76666666666667,-3.86666666666667,-4.96666666666667,2019,3,275.2,1.32547864506627
"2019K4",1.84666666666667,6.93333333333333,12.2666666666667,4.4,-4.86666666666667,-9.5,2019,4,280.1,3.43426883308715
"2020K1",2.71333333333333,6.6,12.5333333333333,6.4,-4.06666666666667,-7.9,2020,1,272.9,-0.401459854014607
"2020K2",-7.92666666666667,4.93333333333333,8.3,-30.9,-9.53333333333333,-12.4333333333333,2020,2,262.5,-4.33673469387754
"2020K3",-5.3,3.13333333333333,11.3666666666667,-29.3666666666667,-2.23333333333333,-9.4,2020,3,274.1,-0.399709302325568
"2020K4",-5.90666666666667,4.03333333333333,11.2333333333333,-29.6333333333333,-8.66666666666667,-6.5,2020,4,280.3,0.0714030703320212
"2021K1",-4.78,4.96666666666667,12.3666666666667,-33.4,-2.6,-5.23333333333333,2021,1,270.1,-1.02601685599119
"2021K2",1.3,6.06666666666667,13.3,-18.4,8.76666666666667,-3.23333333333333,2021,2,287.2,9.4095238095238
"2021K3",5.07333333333333,8.1,13.6333333333333,1.63333333333333,10.6333333333333,-8.63333333333333,2021,3,292.6,6.74936154688071
"2021K4",-0.26,1.86666666666667,8.43333333333333,1.8,0.933333333333333,-14.3333333333333,2021,4,301,7.38494470210489
"2022K1",-6.36666666666667,-0.0333333333333334,2.66666666666667,-9.9,-9.56666666666667,-15,2022,1,280.8,3.96149574231766
"2022K2",-22.6866666666667,-15.3333333333333,-7.43333333333333,-36.3333333333333,-22.9666666666667,-31.3666666666667,2022,2,284.1,-1.07938718662951
"2022K3",-27.6066666666667,-24.0666666666667,-7,-49.8,-19.7,-37.4666666666667,2022,3,282.3,-3.52016404647983
"2022K4",-32.1133333333333,-31.8,-8.1,-60.2,-16.0333333333333,-44.4333333333333,2022,4,278.5,-7.4750830564784
"2023K1",-24.76,-28.1333333333333,-0.366666666666667,-49.7333333333333,-4.46666666666667,-41.1,2023,1,277.6,-1.13960113960113
"2023K2",-14.7133333333333,-21.2,3.56666666666667,-25.9,2.5,-32.5333333333333,2023,2,274.6,-3.34389299542415
"2023K3",-11.3066666666667,-16.3,1.8,-14.2666666666667,1.66666666666667,-29.4333333333333,2023,3,271.3,-3.89656393907191
"2023K4",-11.68,-16.3,2.9,-13.4,-5.66666666666667,-25.9333333333333,2023,4,273.6,-1.75942549371633
"2024K1",-7.78666666666667,-10.6666666666667,3.56666666666667,-7.6,-3.66666666666667,-20.5666666666667,2024,1,274.6,-1.0806916426513
"2024K2",-6.5,-7.73333333333333,5.13333333333333,-6.33333333333333,-5,-18.5666666666667,2024,2,276.7,0.764748725418785
"2024K3",-6.55333333333333,-5.2,3.4,-7.3,-8.56666666666667,-15.1,2024,3,277.8,2.39587172871361
"2024K4",-10.4333333333333,-10.0666666666667,-0.733333333333333,-13.1666666666667,-12.4666666666667,-15.7333333333333,2024,4,278.8,1.90058479532162
"2025K1",-13.9,-6.16666666666667,-2.56666666666667,-19.3666666666667,-26.2333333333333,-15.1666666666667,2025,1,281.4,2.47632920611798
"2025K2",-16.8466666666667,-11.5666666666667,-5.53333333333333,-25.7,-27.7,-13.7333333333333,2025,2,281.7,1.80701120346947
"2025K3",-17.2,-14.4666666666667,-5.96666666666667,-25.7666666666667,-23.5666666666667,-16.2333333333333,2025,3,282.1,1.54787616990641
"2025K4",-19.82,NA,NA,NA,NA,NA,NA,NA,266.118066272686,-2.13305433508566
